# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     3.530         8         3        239947
     3.190         1         0         48893
     2.650         2         0         49032
     2.670         2         0         49122
     5.620        58         2         49161
     3.070         0         1         49281
     3.610         1         0         49334
     2.760         1         0         49369
     4.340         1         0         49451
     2.560         1         0         49499
     2.950         1         1         49509
     2.830         0         1         49530
     2.840         3         0         49539
     2.670         1         0         49569
     3.150         1         0         49495
     2.660         1         0         49580
     2.920         3         0         49660
     3.080         1         4         49694
     3.240         3         3         49748
     3.560         1         0         49672
     3.840         5         0         49862
     3.810         0         1         49929
     4.010         3         0         49933
     2.970         0         2         49985
     3.430         2        21         50072
     2.760         1         0         50143
     3.100         1         1         50149
     2.560         1         0         50160
     2.550         0         1         50171
     2.830         1         0         50152
     4.800         1         0         50189
     2.700         1         0         50269
     3.590         4         0         50334
     3.020         1         0         50241
     2.620         0         3         50515
     3.370         4         0         50638
     2.450         1         0         50731
     3.950         4         2         51084
     2.820         2         0         51004
     2.750         0         1         51517
     3.210         1         0         51565
     2.870         0         1         51591
     2.790         2         0         51632
     3.810         1         0         51867
     4.340         4         0         51885
     3.540         1         0         51962
     3.120         1         0         52148
     2.760         0         1         52209
     3.460        27         4         52276
     3.450         1         0         52593
     2.870         1         0         52618
     2.680         3         0         52637
     3.390         2         2         52747
     2.950         1         0         52905
     2.540         1         0         52934
     3.100         1         0         53019
     3.060         2         0         53055
     2.860         0         1         53128
     4.210         2         0         53247
     3.100         1         0         53309
     3.540         0         1         53366
     2.600         0         1         53402
     4.080         2         0         53409
     3.260         1        19         53868
     3.010         0         1         53779
     2.960         1         0         53870
     3.140         1         0         53997
     3.490         0         1         54010
     2.750         0         1         54065
     3.850         2         0         54445
     2.510         0         1         54641
     3.980         1         0         54848
     3.470         1         0         55005
     4.260         1         0         55132
     3.040         1         0         55290
     3.060         1         0         55294
     2.540         1         0         55688
     2.990         1         0         55721
     4.240         1         0         55652
     3.070         2         0         55805
     3.310         2         0         56012
     3.070         0         1         56050
     3.510         1         0         56065
     3.720         1         0         56198
     3.590         0         1         56222
     3.180         1         0         56304
     2.820         0         2         56312
     2.940         4         0         56399
     2.720         3         1         56432
     3.810         1         0         56356
     5.660        27         0         56479
     2.680         0         1         56554
     4.010         6         4         56611
     3.860         1         0         56883
     2.950         0         1         56909
     3.680         1         1         56967
